Rk,Player,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
26,Lauri Markkanen,UTA,PF,55,55,33.1,7.8,16.2,0.48,3.2,8,0.399,4.6,8.2,0.559,0.578,4.5,5,2.2,5.9,8.2,2,0.9,0.5,1.4,1.8,23.2
27,Jaylen Brown,BOS,SF,70,70,33.5,9,17.9,0.499,2.1,5.9,0.354,6.9,12.1,0.57,0.557,3,4.3,1.2,4.3,5.5,3.6,1.2,0.5,2.4,2.6,23
28,Zion Williamson,NOP,PF,70,70,31.5,8.9,15.6,0.57,0.1,0.3,0.333,8.8,15.4,0.574,0.573,5,7.1,1.7,4.1,5.8,5,1.1,0.7,2.8,2.3,22.9
29,Cade Cunningham,DET,PG,62,62,33.5,8.5,18.8,0.449,1.9,5.4,0.355,6.5,13.4,0.487,0.5,3.8,4.4,0.5,3.8,4.3,7.5,0.9,0.4,3.4,2.5,22.7
30,Anfernee Simons,POR,SG,46,46,34.4,7.8,18.2,0.43,3.4,8.8,0.385,4.4,9.4,0.472,0.523,3.5,3.9,0.5,3.2,3.6,5.5,0.5,0.1,2.7,2.1,22.6
31,Paul George,LAC,PF,74,74,33.8,7.9,16.7,0.471,3.3,7.9,0.413,4.6,8.8,0.523,0.569,3.6,3.9,0.5,4.7,5.2,3.5,1.5,0.5,2.1,2.7,22.6
32,Paolo Banchero,ORL,PF,80,80,35,8,17.6,0.455,1.5,4.4,0.339,6.5,13.2,0.493,0.497,5.1,7,1,5.9,6.9,5.4,0.9,0.6,3.1,1.9,22.6
33,Jaren Jackson Jr.,MEM,C,66,66,32.2,7.8,17.6,0.444,1.8,5.5,0.32,6,12.1,0.501,0.494,5.1,6.3,1.3,4.2,5.5,2.3,1.2,1.6,2.4,3.6,22.5
34,Dejounte Murray,ATL,SG,78,78,35.7,8.6,18.8,0.459,2.6,7.1,0.363,6,11.7,0.518,0.528,2.7,3.4,0.8,4.5,5.3,6.4,1.4,0.3,2.6,1.8,22.5
35,Cam Thomas,BRK,SG,66,51,31.4,8,18,0.442,2.2,6,0.364,5.8,12,0.481,0.503,4.3,5.1,0.4,2.8,3.2,2.9,0.7,0.2,1.9,2.1,22.5
36,Kyle Kuzma,WAS,PF,70,70,32.6,8.7,18.8,0.463,2.2,6.4,0.336,6.5,12.3,0.53,0.521,2.7,3.4,0.9,5.7,6.6,4.2,0.5,0.7,2.7,2.2,22.2
37,Karl-Anthony Towns,MIN,PF,62,62,32.7,7.7,15.3,0.504,2.2,5.3,0.416,5.5,10.1,0.55,0.575,4.1,4.7,1.5,6.8,8.3,3,0.7,0.7,2.9,3.3,21.8
38,Pascal Siakam,2TM,PF,80,80,33.2,8.5,15.9,0.536,1.1,3.1,0.346,7.5,12.8,0.581,0.569,3.6,5,1.7,5.3,7.1,4.3,0.8,0.3,1.8,2.4,21.7
39,Victor Wembanyama,SAS,C,71,71,29.7,7.8,16.7,0.465,1.8,5.5,0.325,6,11.2,0.534,0.519,4.1,5.2,2.3,8.4,10.6,3.9,1.2,3.6,3.7,2.2,21.4
40,Jamal Murray,DEN,PG,59,59,31.5,8,16.7,0.481,2.5,5.8,0.425,5.6,10.9,0.51,0.554,2.7,3.1,0.7,3.4,4.1,6.5,1,0.7,2.1,1.8,21.2
